    12     2     1
     2    12    13
    13     3     2
     3    13    14
    14     4     3
     4    14    15
    15     5     4
     5    15    16
    16     6     5
     6    16    17
    17     7     6
     7    17    18
    18     8     7
     8    18    19
    19     9     8
     9    19    20
    20    10     9
    10    20    21
    21    11    10
    11    21    22
    23    15    14
    15    23    24
    24    16    15
    16    24    25
    25    17    16
    17    25    26
    26    18    17
    18    26    27
    27    19    18
    19    27    28
    28    20    19
    20    28    29
    29    21    20
    21    29    30
    30    22    21
    22    30    31
